"","chromosome_name","start_position","end_position","hgnc_symbol"
"105","9",113386312,113401290,"ALAD"
"106","4",73397114,73421482,"ALB"
"107","9",38392702,38398661,"ALDH1B1"
"108","12",111766887,111817532,"ALDH2"
"109","1",18871430,18902724,"ALDH4A1"
"110","14",74056847,74084492,"ALDH6A1"
"111","9",101420560,101449664,"ALDOB"
"112","12",38316762,38329721,"ALG10B"
"113","22",49900229,49918438,"ALG12"
"114","1",63367575,63438553,"ALG6"
"115","17",18183078,18209954,"ALKBH5"
"116","17",6996049,7010754,"ALOX12"
"117","17",4630919,4642294,"ALOX15"
"118","1",110059870,110070672,"ALX3"
"119","12",95943331,95968720,"AMDHD1"
"120","12",47075707,47079959,"AMIGO2"
"121","3",49716829,49719684,"AMIGO3"
"122","3",134355347,134375479,"AMOTL2"
"123","3",49416778,49422685,"AMT"
"124","4",70518569,70532743,"AMTN"
"125","1",103553815,103579534,"AMY2B"
"126","2",111611639,111884690,"ANAPC1"
"127","4",144831908,145098541,"ANAPC10"
"128","12",110372900,110403730,"ANAPC7"
"129","8",107249482,107498055,"ANGPT1"
"130","20",869900,916334,"ANGPT4"
"131","19",11237450,11241943,"ANGPTL8"
"132","4",112818032,113384221,"ANK2"
"133","10",60026298,60733490,"ANK3"
"134","7",92245974,92401383,"ANKIB1"
"135","19",17281645,17287646,"ANKLE1"
"136","7",16599779,16645817,"ANKMY2"
"137","12",109999186,110039763,"ANKRD13A"
"138","17",29589769,29614761,"ANKRD13B"
"139","19",4182689,4224814,"ANKRD24"
"140","18",23598926,23662911,"ANKRD29"
"141","2",97113153,97264521,"ANKRD36"
"142","2",70978380,70985499,"ANKRD53"
"143","6",89433152,89633834,"ANKRD6"
"144","14",102501767,102509799,"ANKRD9"
"145","11",69985907,70189530,"ANO1"
"146","11",417933,442011,"ANO9"
"147","15",89784895,89815401,"ANPEP"
"148","4",168092537,168187736,"ANXA10"
"149","8",123680794,123737402,"ANXA13"
"150","5",151100706,151157815,"ANXA6"
"151","16",71729000,71809201,"AP1G1"
"152","14",23559565,23568070,"AP1G2"
"153","17",35578046,35726413,"AP2B1"
"154","15",89830599,89894638,"AP3S2"
"155","CHR_HSCHR15_4_CTG8",29060035,29259075,"APBA2"
"156","15",28884483,29118315,"APBA2"
"157","19",3750772,3761692,"APBA3"
"158","10",26438341,26567803,"APBB1IP"
"159","5",140558268,140564781,"APBB3"
"160","1",150265399,150269580,"APH1A"
"161","11",130068147,130144811,"APLP2"
"162","11",116829706,116833072,"APOC3"
"163","19",44942237,44945496,"APOC4"
"164","12",12725917,12829975,"APOLD1"
"165","CHR_HSCHR6_MHC_SSTO_CTG1",31643159,31648952,"APOM"
"166","CHR_HSCHR6_MHC_QBL_CTG1",31642642,31648435,"APOM"
"167","CHR_HSCHR6_MHC_COX_CTG1",31639825,31645618,"APOM"
"168","CHR_HSCHR6_MHC_MANN_CTG1",31691869,31697663,"APOM"
"169","CHR_HSCHR6_MHC_MCF_CTG1",31728695,31734489,"APOM"
"170","CHR_HSCHR6_MHC_DBB_CTG1",31634594,31640388,"APOM"
"171","6",31652416,31658210,"APOM"
"172","17",60443158,60526242,"APPBP2"
"173","12",105173297,105236203,"APPL2"
"174","16",88809339,88811937,"APRT"
"175","11",77589391,77610356,"AQP11"
"176","16",25215731,25228932,"AQP8"
"177","15",34851782,34969742,"AQR"
"178","8",142611049,142614479,"ARC"
"179","4",74445136,74455005,"AREG"
"180","14",74653437,74713117,"AREL1"
"181","8",67173511,67343781,"ARFGEF1"
"182","20",48921711,49036693,"ARFGEF2"
"183","4",152779937,152918463,"ARFIP1"
"184","10",31805398,31928876,"ARHGAP12"
"185","10",97222173,97292673,"ARHGAP19"
"186","10",24583609,24723887,"ARHGAP21"
"187","X",11117651,11665920,"ARHGAP6"
"188","22",44752558,44862788,"ARHGAP8"
"189","17",81867721,81871378,"ARHGDIA"
"190","1",156934840,157045742,"ARHGEF11"
"191","12",57610180,57617245,"ARHGEF25"
"192","5",149551947,149634968,"ARHGEF37"
"193","9",35658875,35675866,"ARHGEF39"
"194","13",111114559,111305737,"ARHGEF7"
"195","6",156776020,157210779,"ARID1B"
"196","12",45729706,45908040,"ARID2"
"197","19",925781,975939,"ARID3A"
"198","9",34621049,34629066,"ARID3C"
"199","14",58298504,58373887,"ARID4A"
"200","2",96536743,96552634,"ARID5A"
"201","15",72474330,72602987,"ARIH1"
"202","5",176365487,176401865,"ARL10"
"203","13",49628507,49633872,"ARL11"
"204","10",18659431,18681639,"ARL5B"
"205","17",39156894,39167484,"ARL5C"
"206","3",69084937,69106092,"ARL6IP5"
"207","1",202133404,202144743,"ARL8A"
"208","8",65602458,65634217,"ARMC1"
"209","10",22928024,23038523,"ARMC3"
"210","X",101655281,101659850,"ARMCX2"
"211","X",101418287,101533459,"ARMCX4"
"212","X",101615118,101618001,"ARMCX6"
"213","3",9792495,9807101,"ARPC4"
"214","15",89895006,89912952,"ARPIN"
"215","9",137605685,137615360,"ARRDC1"
"216","19",18001132,18014102,"ARRDC2"
"217","5",95555101,95605102,"ARSK"
"218","12",14825569,14843526,"ART4"
"219","8",18055992,18084998,"ASAH1"
"220","7",151175698,151187832,"ASB10"
"221","10",5638867,5666595,"ASB13"
"222","CHR_HSCHR14_7_CTG1",93934153,93976791,"ASB2"
"223","14",93934166,93976739,"ASB2"
"224","9",129634604,129642169,"ASB6"
"225","17",33013087,34174964,"ASIC2"
"226","2",219514170,219538772,"ASIC4"
"227","9",92456205,92482506,"ASPN"
"228","17",81976807,82017406,"ASPSCR1"
"229","3",131013875,131027649,"ASTE1"
"230","8",123319850,123416350,"ATAD2"
"231","1",161766298,161977574,"ATF6"
"232","12",53507856,53626410,"ATF7"
"233","12",14365676,14502931,"ATF7IP"
"234","CHR_HG2232_PATCH",233210051,233295674,"ATG16L1"
"235","2",233210051,233295674,"ATG16L1"
"236","11",72814406,72843674,"ATG16L2"
"237","14",96279195,96363341,"ATG2B"
"238","1",62784132,62865516,"ATG4C"
"239","3",11272309,11557665,"ATG7"
"240","16",81035842,81047350,"ATMIN"
"241","15",25677273,25865184,"ATP10A"
"242","1",16985958,17011928,"ATP13A2"
"243","3",194402672,194498364,"ATP13A3"
"244","19",41966582,41997497,"ATP1A3"
"245","1",169105697,169310992,"ATP1B1"
"246","17",7646627,7657770,"ATP1B2"
"247","17",3923870,3964464,"ATP2A3"
"248","3",10324023,10708007,"ATP2B2"
"249","5",82279462,82386977,"ATP6AP1L"
"250","X",40579372,40606848,"ATP6AP2"
"251","8",85987323,86154225,"ATP6V0D2"
"252","8",20197381,20226819,"ATP6V1B2"
"253","2",46490750,46542577,"ATP6V1E2"
"254","7",128862856,128865847,"ATP6V1F"
"255","13",25371974,26025851,"ATP8A2"
"256","1",154325525,154351304,"ATP8B2"
"257","19",1782075,1812276,"ATP8B3"
"258","20",51596514,51768390,"ATP9A"
"259","17",17977409,18039209,"ATPAF2"
"260","3",142449007,142578733,"ATR"
"261","20",3471018,3651118,"ATRN"
"262","3",63863155,64003462,"ATXN7"
"263","20",56369389,56392337,"AURKA"
"264","17",8204733,8210600,"AURKB"
"265","20",3082556,3084724,"AVP"
"266","1",206106936,206117699,"AVPR1B"
"267","X",153902531,153907166,"AVPR2"
"268","7",99966720,99976042,"AZGP1"
"269","CHR_HSCHR1_5_CTG32_1",235450981,235508243,"B3GALNT2"
"270","1",235447190,235504452,"B3GALNT2"
"271","2",167293001,167874045,"B3GALT1"
"272","11",62615296,62622154,"B3GAT3"
"273","2",62196115,62224731,"B3GNT2"
"274","2",231395710,231401164,"B3GNT7"
"275","12",57623409,57633239,"B4GALNT1"
"276","17",49132460,49176840,"B4GALNT2"
"277","5",177600132,177610330,"B4GALT7"
"278","11",66345374,66347629,"B4GAT1"
"279","CHR_HSCHR9_1_CTG5",101371093,101381063,"BAAT"
"280","9",101354182,101385400,"BAAT"
"281","6",89926528,90296843,"BACH2"
"282","14",103556545,103562657,"BAG5"
"283","6",33572547,33580293,"BAK1"
"284","11",66002228,66004149,"BANF1"
"285","9",132582606,132590252,"BARHL1"
"286","19",47220822,47232766,"BBC3"
"287","14",74019349,74082863,"BBOF1"
"288","4",122732702,122744942,"BBS12"
"289","7",33109557,33877180,"BBS9"
"290","1",93561741,93847150,"BCAR3"
"291","6",80106647,80346270,"BCKDHB"
"292","2",60450520,60554467,"BCL11A"
"293","18",63123346,63320128,"BCL2"
"294","1",147541501,147626216,"BCL9"
"295","11",118893875,118925926,"BCL9L"
"296","2",218658764,218663443,"BCS1L"
"297","14",96204679,96244166,"BDKRB2"
"298","11",27654893,27722058,"BDNF"
"299","4",42110853,42152878,"BEND4"
"300","1",48727519,48776969,"BEND5"
"301","19",12751702,12758458,"BEST2"
"302","12",69643360,69699476,"BEST3"
"303","20",63005927,63007035,"BHLHE23"
"304","12",26120030,26125037,"BHLHE41"
"305","19",47608196,47703277,"BICRA"
"306","8",22620418,22669148,"BIN3"
"307","11",102317450,102339403,"BIRC3"
"308","17",78214186,78225636,"BIRC5"
"309","20",63235883,63240495,"BIRC7"
"310","20",37492472,37527931,"BLCAP"
"311","15",90717346,90816166,"BLM"
"312","2",68860909,68871397,"BMP10"
"313","4",81030708,81057627,"BMP3"
"314","6",7726099,7881728,"BMP6"
"315","4",94757955,95158448,"BMPR1B"
"316","2",202376327,202567751,"BMPR2"
"317","10",131967684,131981967,"BNIP3"
"318","1",151036321,151047720,"BNIPL"
"319","6",3118374,3153578,"BPHL"
"320","22",32413845,32464484,"BPIFC"
"321","13",32315086,32400268,"BRCA2"
"322","9",134030305,134068535,"BRD3"
"323","12",124993645,125031231,"BRI3BP"
"324","1",177170958,177282422,"BRINP2"
"325","17",61679139,61863559,"BRIP1"
"326","6",36196744,36232790,"BRPF3"
"327","19",55282072,55312562,"BRSK1"
"328","1",32364633,32394731,"BSDC1"
"329","9",113349541,113371233,"BSPRY"
"330","10",122271296,122338159,"BTBD16"
"331","CHR_HSCHR14_7_CTG1",93237550,93333092,"BTBD7"
"332","14",93237550,93333092,"BTBD7"
"333","6",38168451,38640148,"BTBD9"
"334","3",15601341,15722311,"BTD"
"335","10",123154402,123170467,"BUB3"
"336","11",116748170,116772987,"BUD13"
"337","7",73683025,73705161,"BUD23"
"338","CHR_HG439_PATCH",120625674,120630054,"C1GALT1C1"
"339","X",120625674,120630054,"C1GALT1C1"
"340","1",22635077,22639678,"C1QA"
"341","10",16513734,16521879,"C1QL3"
"342","12",49332409,49337188,"C1QL4"
"343","4",15339818,15446167,"C1QTNF7"
"344","11",74012718,74171210,"C2CD3"
"345","15",62163535,62165285,"C2CD4B"
"346","1",151837818,151840557,"C2CD4D"
"347","1",56929207,56974383,"C8B"
"348","13",49308650,49444064,"CAB39L"
"349","CHR_HSCHR22_1_CTG7",24065455,24065991,"CABIN1"
"350","22",24011192,24178628,"CABIN1"
"351","11",67518912,67524517,"CABP2"
"352","18",24138987,24161600,"CABYR"
"353","17",50560715,50627474,"CACNA1G"
"354","CHR_HG1815_PATCH",1791963,1918666,"CACNA2D4"
"355","12",1791963,1918666,"CACNA2D4"
"356","2",151832771,152099167,"CACNB4"
"357","19",53909278,53943950,"CACNG7"
"358","19",53962937,53990215,"CACNG8"
"359","3",84958989,86074429,"CADM2"
"360","6",116529013,116561127,"CALHM4"
"361","2",47160084,47176921,"CALM2"
"362","3",48223347,48225491,"CAMP"
"363","12",67269358,67319953,"CAND1"
"364","17",78991716,79009867,"CANT1"
"365","11",77066961,77126155,"CAPN5"
"366","1",223538007,223665723,"CAPN8"
"367","16",55566684,55567687,"CAPNS2"
"368","1",19338775,19485539,"CAPZB"
"369","9",93096217,93113283,"CARD19"
"370","5",40841308,40860175,"CARD6"
"371","9",136363956,136373681,"CARD9"
"372","16",8852942,8869012,"CARHSP1"
"373","19",10871553,10923075,"CARM1"
"374","9",74980790,75028423,"CARNMT1"
"375","5",71719275,71721048,"CARTPT"
"376","17",75500261,75515537,"CASKIN2"
"377","19",15049480,15058293,"CASP14"
"378","19",5720637,5778734,"CATSPERD"
"379","16",88874858,88977207,"CBFA2T3"
"380","3",105655461,105869552,"CBLB"
"381","14",24426545,24430954,"CBLN3"
"382","20",55997357,56005519,"CBLN4"
"383","CHR_HG109_PATCH",13906201,13930879,"CC2D1A"
"384","19",13906201,13930879,"CC2D1A"
"385","9",35658290,35661511,"CCDC107"
"386","5",115267190,115296693,"CCDC112"
"387","22",28772674,28789301,"CCDC117"
"388","3",46921726,46982010,"CCDC12"
"389","13",43823909,43879740,"CCDC122"
"390","2",108786757,108885477,"CCDC138"
"391","2",178829757,179050137,"CCDC141"
"392","7",77122434,77329533,"CCDC146"
"393","16",1434383,1444556,"CCDC154"
"394","1",45620044,45624057,"CCDC17"
"395","10",116324448,116380029,"CCDC172"
"396","1",223393415,223395465,"CCDC185"
"397","9",136249973,136306901,"CCDC187"
"398","X",49235470,49250520,"CCDC22"
"399","1",3746460,3771645,"CCDC27"
"400","6",138773769,138793319,"CCDC28A"
"401","10",12896625,13099652,"CCDC3"
"402","1",42463221,42657190,"CCDC30"
"403","3",180602858,180684942,"CCDC39"
"404","3",48432164,48440456,"CCDC51"
"405","17",82101460,82212878,"CCDC57"
"406","12",110846769,110907535,"CCDC63"
"407","3",49162535,49166331,"CCDC71"
"408","11",32602721,32794662,"CCDC73"
"409","11",85855101,85920021,"CCDC83"
"410","11",60842113,60851081,"CCDC86"
"411","11",66590176,66593063,"CCDC87"
"412","17",2720801,2749652,"CCDC92B"
"413","16",57358783,57366189,"CCL22"
"414","17",34270221,34272242,"CCL7"
"415","7",44999475,45076469,"CCM2"
"416","20",32010438,32032180,"CCM2L"
"417","5",69167135,69178245,"CCNB1"
"418","X",50202713,50351914,"CCNB3"
"419","5",160249083,160345396,"CCNJL"
"420","2",134918235,134959342,"CCNT2"
"421","17",42678889,42683917,"CCR10"
"422","3",32951644,32956349,"CCR4"
"423","17",40553769,40565472,"CCR7"
"424","3",45886509,45903174,"CCR9"
"425","3",46407166,46412997,"CCRL2"
"426","12",69585426,69601570,"CCT2"
"427","5",10249929,10266389,"CCT5"
"428","17",34927859,34981078,"CCT6B"
"429","1",145719471,145739288,"CD160"
"430","1",27379176,27383333,"CD164L2"
"431","17",74466399,74484794,"CD300A"
"432","17",74521174,74531475,"CD300LB"
"433","17",63928738,63932336,"CD79B"
"434","1",160541095,160579516,"CD84"
"435","12",6199715,6238271,"CD9"
"436","3",111292719,111665750,"CD96"
"437","15",42723544,42737128,"CDAN1"
"438","1",100345001,100520277,"CDC14A"
"439","9",113255835,113275572,"CDC26"
"440","6",110180141,110254275,"CDC40"
"441","1",226989865,227318492,"CDC42BPA"
"442","14",102932380,103057549,"CDC42BPB"
"443","22",37560480,37569405,"CDC42EP1"
"444","11",65314866,65322417,"CDC42EP2"
"445","14",105009573,105021083,"CDCA4"
"446","11",65066300,65084164,"CDCA5"
"447","2",173354820,173368997,"CDCA7"
"448","3",45082277,45146422,"CDCP1"
"449","18",66501083,66604138,"CDH19"
"450","18",27932879,28177946,"CDH2"
"451","10",71396920,71815947,"CDH23"
"452","16",66366622,66404784,"CDH5"
"453","16",61647242,62037035,"CDH8"
"454","10",84194537,84219621,"CDHR1"
"455","10",60778331,60794852,"CDK1"
"456","17",39461486,39564907,"CDK12"
"457","X",47217860,47229997,"CDK16"
"458","1",205504596,205532793,"CDK18"
"459","9",87966441,87974753,"CDK20"
"460","12",123250112,123272334,"CDK2AP1"
"461","2",39168045,39243983,"CDKL4"
"462","X",18425583,18653629,"CDKL5"
"463","9",22002903,22009305,"CDKN2B"
"464","11",125955796,126063335,"CDON"
"465","17",74987632,75005800,"CDR2L"
"466","CHR_HSCHR6_MHC_DBB_CTG1",31108861,31114200,"CDSN"
"467","CHR_HSCHR6_MHC_MCF_CTG1",31193614,31198966,"CDSN"
"468","CHR_HSCHR6_MHC_QBL_CTG1",31107496,31112855,"CDSN"
"469","CHR_HSCHR6_MHC_COX_CTG1",31107584,31112941,"CDSN"
"470","CHR_HSCHR6_MHC_MANN_CTG1",31160057,31165363,"CDSN"
"471","6",31115087,31120446,"CDSN"
"472","19",51478539,51491301,"CEACAM18"
"473","19",41708585,41730433,"CEACAM5"
"474","14",23117036,23120256,"CEBPE"
"475","19",33373685,33382686,"CEBPG"
"476","9",133061981,133071861,"CEL"
"477","10",10798397,11336675,"CELF2"
"478","1",151700058,151716803,"CELF3"
"479","15",72284727,72320157,"CELF6"
"480","1",109249539,109275751,"CELSR2"
"481","15",80779343,80951776,"CEMIP"
"482","4",103105349,103198445,"CENPE"
"483","5",69189574,69210357,"CENPH"
"484","1",173799550,173824883,"CENPL"
"485","22",41938737,41947152,"CENPM"
"486","2",24793136,24822376,"CENPO"
"487","16",67828157,67847811,"CENPT"
"488","17",16342534,16353656,"CENPV"
"489","6",126340115,126348875,"CENPW"
"490","17",82018702,82024107,"CENPX"
"491","5",123344890,123423592,"CEP120"
"492","14",80476983,80959517,"CEP128"
"493","15",48712928,48811146,"CEP152"
"494","11",117314557,117413266,"CEP164"
"495","CHR_HSCHR1_3_CTG32_1",243124428,243255321,"CEP170"
"496","1",243124428,243255348,"CEP170"
"497","14",104865268,104896747,"CEP170B"
"498","12",88049016,88142099,"CEP290"
"499","7",130393771,130442433,"CEP41"
"500","4",174283730,174333380,"CEP44"
"501","1",150960583,150975003,"CERS2"
"502","2",168456249,168775134,"CERS6"
"503","6",87407972,87464465,"CFAP206"
"504","2",55519604,55545079,"CFAP36"
"505","10",104129888,104232364,"CFAP43"
"506","17",9576627,9643447,"CFAP52"
"507","2",219002846,219041527,"CFAP65"
"508","2",130592165,130599575,"CFC1"
"509","16",75293698,75433503,"CFDP1"
"510","3",88051944,88149885,"CGGBP1"
"511","19",4402640,4445018,"CHAF1A"
"512","13",114314482,114337626,"CHAMP1"
"513","10",73782047,73783652,"CHCHD1"
"514","7",132784870,133082090,"CHCHD3"
"515","8",56211686,56218809,"CHCHD7"
"516","5",98853985,98929007,"CHD1"
"517","8",60678740,60868028,"CHD7"
"518","14",21385194,21456126,"CHD8"
"519","16",53054991,53329150,"CHD9"
"520","3",53812335,53846419,"CHDH"
"521","11",125625163,125676255,"CHEK1"
"522","8",81732448,81759515,"CHMP4C"
"523","17",80991598,81009517,"CHMP6"
"524","21",17901263,18267373,"CHODL"
"525","CHR_HSCHR11_2_CTG8",90200429,90223077,"CHORDC1"
"526","11",90200429,90223077,"CHORDC1"
"527","X",110673856,110795819,"CHRDL1"
"528","11",62908679,62921807,"CHRM1"
"529","7",136868652,137020255,"CHRM2"
"530","1",154567778,154580013,"CHRNB2"
"531","2",232539692,232548115,"CHRNG"
"532","3",126524155,126543291,"CHST13"
"533","X",46573765,46598496,"CHST7"
"534","18",26906481,27185308,"CHST9"
"535","15",101175727,101252048,"CHSY1"
"536","1",153633982,153646306,"CHTOP"
"537","10",100188300,100229596,"CHUK"
"538","14",64914361,64944591,"CHURC1"
"539","1",150282543,150287093,"CIART"
"540","16",10866222,10943021,"CIITA"
"541","2",174348022,174395712,"CIR1"
"542","3",50606489,50611774,"CISH"
"543","X",72301638,72307187,"CITED1"
"544","6",139371807,139374648,"CITED2"
"545","11",46743048,46846308,"CKAP5"
"546","5",81233320,81266398,"CKMT2"
"547","1",86468368,86500259,"CLCA1"
"548","11",67364168,67374177,"CLCF1"
"549","X",49922596,50099235,"CLCN5"
"550","1",16018875,16034050,"CLCNKA"
"551","21",30165565,30166805,"CLDN17"
"552","X",106900164,106930861,"CLDN2"
"553","6",155264013,155276548,"CLDN20"
"554","4",183318100,183320276,"CLDN22"
"555","CHR_HG76_PATCH",11252761,11254920,"CLDN23"
"556","8",8701937,8704096,"CLDN23"
"557","7",73768997,73770270,"CLDN3"
"558","22",19523024,19527545,"CLDN5"
"559","16",3014712,3020071,"CLDN6"
"560","12",9951316,9995694,"CLEC12A"
"561","12",8533305,8540905,"CLEC4E"
"562","5",157785743,157859145,"CLINT1"
"563","CHR_HSCHR1_2_CTG31",155278272,155293895,"CLK2"
"564","1",155262868,155278491,"CLK2"
"565","5",178602664,178630615,"CLK4"
"566","CHR_HSCHR8_7_CTG1",1755340,1786132,"CLN8"
"567","8",1755778,1801711,"CLN8"
"568","19",6361531,6370242,"CLPP"
"569","15",65148219,65185342,"CLPX"
"570","1",9728926,9823984,"CLSTN1"
"571","16",81444808,81711762,"CMIP"
"572","16",66603874,66613892,"CMTM3"
"573","5",79689836,79800240,"CMYA5"
"574","14",54423561,54441391,"CNIH1"
"575","1",224434660,224740554,"CNIH3"
"576","19",11538767,11550323,"CNN1"
"577","2",96816245,96835382,"CNNM3"
"578","2",96760902,96811874,"CNNM4"
"579","12",56309842,56316119,"CNPY2"
"580","6",42929480,42939294,"CNPY3"
"581","17",42798800,42811587,"CNTD1"
"582","11",58622665,58625733,"CNTF"
"583","9",17134982,17503923,"CNTLN"
"584","3",1092658,1404217,"CNTN6"
"585","9",121074660,121177729,"CNTRL"
"586","17",42795147,42798704,"COA3"
"587","1",234373456,234385080,"COA6"
"588","9",98943179,99070792,"COL15A1"
"589","1",31652263,31704319,"COL16A1"
"590","21",45405165,45513720,"COL18A1"
"591","8",138588235,138914041,"COL22A1"
"592","4",108808725,109302752,"COL25A1"
"593","7",7356203,7535873,"COL28A1"
"594","12",47972967,48004554,"COL2A1"
"595","2",188974373,189012746,"COL3A1"
"596","2",227164624,227314792,"COL4A3"
"597","2",189031898,189225312,"COL5A2"
"598","3",99638475,99799226,"COL8A1"
"599","20",62816244,62841159,"COL9A3"
"600","8",118995452,119108455,"COLEC10"
"601","1",183929854,184037729,"COLGALT2"
"602","3",15450133,15521751,"COLQ"
"603","2",61888724,62147247,"COMMD1"
"604","3",149738472,149752495,"COMMD2"
"605","13",75525214,75549439,"COMMD6"
"606","1",175944831,176207286,"COP1"
"607","7",130506238,130668748,"COPG2"
"608","12",56266890,56270966,"COQ10A"
"609","6",99369401,99394195,"COQ3"
"610","19",40691514,40725784,"COQ8B"
"611","11",67435510,67443821,"CORO1B"
"612","16",84565596,84618078,"COTL1"
"613","12",50112082,50120457,"COX14"
"614","20",31637912,31645006,"COX4I2"
"615","2",97646062,97648383,"COX5B"
"616","19",35648323,35658782,"COX6B1"
"617","2",42333546,42425088,"COX7A2L"
"618","7",130293134,130324180,"CPA4"
"619","13",46053186,46105033,"CPB2"
"620","5",37106228,37249376,"CPLANE1"
"621","3",194339768,194351328,"CPN2"
"622","CHR_HG1_PATCH",24070836,24078099,"CPNE6"
"623","14",24070837,24078100,"CPNE6"
"624","1",156699606,156705816,"CRABP2"
"625","11",826144,831991,"CRACR2B"
"626","12",93677375,93894840,"CRADD"
"627","9",123356170,123380324,"CRB2"
"628","19",6463777,6467221,"CRB3"
"629","2",207529737,207605988,"CREB1"
"630","9",35732598,35736999,"CREB3"
"631","1",167529117,167553805,"CREG1"
"632","14",105472962,105480162,"CRIP2"
"633","17",30769388,30824692,"CRLF3"
"634","20",6006093,6040053,"CRLS1"
"635","2",240906330,240993311,"CROCC2"
"636","1",26321698,26360080,"CRYBG2"
"637","16",21238874,21303083,"CRYM"
"638","22",41561010,41577741,"CSDC2"
